no,connections,x,y,z,x axes angle,y axes angle,z axes angle,maximum value
1,2-17-16,-54,-54,0,330,90,210,56
2,3-18,-50,-54,20,,,,
3,4-19,-38,-54,38,,,,
4,20-5,-20,-54,50,,,,
5,6-21,0,-54,54,,,,
6,7-22,20,-54,50,,,,
7,8-23,38,-54,38,,,,
8,24-9,50,-54,20,,,,
9,10-25,54,-54,0,,,,
10,11-26,50,-54,-20,,,,
11,12-27,38,-54,-38,,,,
12,28-13,19,-54,-50,,,,
13,14-29,0,-54,-54,,,,
14,15-30,-20,-54,-50,,,,
15,16-31,-38,-54,-38,,,,
16,32,-50,-54,-20,,,,
17,18-32,-54,54,0,,,,
18,19,-50,54,20,,,,
19,20,-38,54,38,,,,
20,21,-20,54,50,,,,
21,22,0,54,54,,,,
22,23,20,54,50,,,,
23,24,38,54,38,,,,
24,25,50,54,20,,,,
25,26,54,54,0,,,,
26,27,50,54,-20,,,,
27,28,38,54,-38,,,,
28,29,20,54,-50,,,,
29,30,0,54,-54,,,,
30,31,-20,54,-50,,,,
31,32,-38,54,-38,,,,
32,,-50,54,-20,,,,
